판매몰상품번호/딜번호[출력],원상품명(쇼핑몰)[출력],원옵션(쇼핑몰)[출력],수량[출력],상품명구분,옵션분리,매입처,상품코드,"상품명_ERP기준
(빈칸삭제)","옵션명_ERP기준
(옵션공란NO채우기)",상품명_발주서기준,"옵션명_발주서기준
(옵션 공란 남겨두기)",기준판매가,매입단가,발주수량,기준판매가합계,매입가합계
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),그레이,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)그레이,,세정코코로,KAMOME000176,10COLORS카모메커트러리3P,그레이,10 COLORS 카모메 커트러리3P,그레이,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),와인,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)와인,,세정코코로,KAMOME000181,10COLORS카모메커트러리3P,와인,10 COLORS 카모메 커트러리3P,와인,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),머스타드,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)머스타드,,세정코코로,KAMOME000183,10COLORS카모메커트러리3P,머스타드,10 COLORS 카모메 커트러리3P,머스타드,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),실버블루,8,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)실버블루,,세정코코로,KAMOME000178,10COLORS카모메커트러리3P,실버블루,10 COLORS 카모메 커트러리3P,실버블루,11700,5265.0,8,93600,42120.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),크림옐로우,1,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)크림옐로우,,세정코코로,KAMOME000180,10COLORS카모메커트러리3P,크림옐로우,10 COLORS 카모메 커트러리3P,크림옐로우,11700,5265.0,1,11700,5265.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),인디핑크,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)인디핑크,,세정코코로,KAMOME000179,10COLORS카모메커트러리3P,인디핑크,10 COLORS 카모메 커트러리3P,인디핑크,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),크림옐로우,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)크림옐로우,,세정코코로,KAMOME000180,10COLORS카모메커트러리3P,크림옐로우,10 COLORS 카모메 커트러리3P,크림옐로우,11700,5265.0,2,23400,10530.0
23067,튀김바트(밧드),Japan 튀김바트,1,23067튀김바트(밧드)Japan튀김바트,,세정코코로,KAMOME000635,Japan튀김바트,NO,Japan 튀김바트,,12870,5791.5,1,12870,5791.5
45946,화이트 스틸 행주걸이,단품,1,45946화이트스틸행주걸이단품,,세정코코로,KAMOME005474,화이트스틸행주걸이,NO,화이트 스틸 행주걸이,,8580,3861.0,1,8580,3861.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),그레이 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)그레이4인세트(동일색상),,세정코코로,KAMOME000126,10COLORS카모메수저세트,그레이,10 COLORS 카모메 수저세트,그레이,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),실버블루 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)실버블루4인세트(동일색상),,세정코코로,KAMOME000127,10COLORS카모메수저세트,실버블루,10 COLORS 카모메 수저세트,실버블루,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),와인 4인세트(동일색상),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)와인4인세트(동일색상),,세정코코로,KAMOME000131,10COLORS카모메수저세트,와인,10 COLORS 카모메 수저세트,와인,7800,3510.0,8,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),머스타드 4인세트(동일색상),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)머스타드4인세트(동일색상),,세정코코로,KAMOME000134,10COLORS카모메수저세트,머스타드,10 COLORS 카모메 수저세트,머스타드,7800,3510.0,8,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,2,62400,28080.0
